name,alternate_names,region_or_origin,temp_min_c,temp_max_c,typical_time_h,starter_ecology,main_microbes_or_features,propagation_type,notes,evidence_status,profile_path,reference_ids,fermentation_scope
Milk Kefir,Kefir,Caucasus,20,25,18-24,grain consortium,LAB + yeasts + acetic acid bacteria; kefiran/EPS,grains,Mixed microbial ecosystem; slight CO2 and trace ethanol possible,literature-backed; claim-specific scope,profiles/milk-kefir.md,MK001;MK002;MK003;MK004;MK005;MK006;MK007,Traditional/common grain fermentation 20-25 C/18-24 h; study-specific higher temperatures are not maintenance optima.
Viili,,Finland,18,20,16-24,mesophilic mixed starter,Lactococcus lactis/cremoris; Leuconostoc; traditional Geotrichum candidum surface; strain-dependent EPS,backslopping or selected starter,Finnish and Taiwanese culture provenance separated; SBT 0495 and other named isolates in profile,literature-backed; claim-specific scope,profiles/viili.md,LAN002;VII001;VII002;VII003;VII004;VII005;VII006;VII007;VII008;VII009;VII010;VII011,Traditional/background descriptions: 18-20 C about 20 h; 20 C/16-24 h. Experimental 22.5 or 26 C protocols kept separate.
Långfil,Longfil,Sweden,18,18,not established,mesophilic ropy starter,Ropy lactococci including historical Lactococcus lactis subsp. cremoris LAPT 3001; D/DL aroma cultures in technical description,backslopping or selected starter,18 C is an approximate process point; duration not verified; serial-transfer viscosity instability documented,literature-backed; claim-specific scope,profiles/langfil.md,LAN001;LAN002;LAN003;LAN004;VII010,Academic textbook approximate 18 C process point; no verified product-specific time range. Equal bounds do not imply narrow tolerance.
Filmjölk,Filmjolk,Sweden,20,20,17-24,mesophilic aromatic starter,Acidifying lactococci and aroma cultures; unnamed Leuconostoc mesenteroides subsp. cremoris isolate from commercial Filmjolk,backslopping or selected starter,Approximate pH 4.6 technical example; CNP1/CNP2 are chemical fractions not strain IDs,literature-backed; claim-specific scope,profiles/filmjolk.md,FIL001;LAN003;VII010,"Academic textbook conventional process: about 20 C/17-24 h. Equal bounds represent an approximate point, not biological tolerance."
Piimä,Piima,Finland,20,20,18-24,mesophilic starter,Mesophilic LAB,backslopping,Mild cultured milk,literature-backed; claim-specific scope,profiles/piima.md,VII010,Approximate mesophilic process point; ordinary Piima separated from ropy pitka-piima.
Tätemjölk,Tettmelk,Nordic region,18,20,not established,traditional mesophilic culture,Traditional ropy lactic fermentation,backslopping,Highly viscous traditional cultured milk,literature-backed; claim-specific scope,profiles/tettemelk.md,VII010,Review-backed mesophilic band; no verified universal duration.
Caspian Sea Yogurt,,Caucasus-derived lineage propagated in Japan,20,30,24-48 (powder); 6-48 (transfer),mesophilic lactococcal starter; LAB-AAB in characterized lineage,Historical Lactococcus lactis subsp. cremoris FC and Acetobacter orientalis FA; KYG22 separately reported; EPS-associated texture,backslopping or selected starter,Primary room-temperature cow-milk protocol 24 h has no measured temperature; current numeric household window is manufacturer-specific,literature-backed; claim-specific scope,profiles/caspian-sea-yogurt.md,CSY001;CSY002;CSY003;CSY004;CSY005;CSY006;CSY007;GEN001,Fujicco guidance: powder 25-30 C/about 24 h or 20-25 C/24-48 h; transfer 6-48 h across 20-30 C. Not a universal optimum.
Dadih,Dadiah,West Sumatra Indonesia,28,30,24-48,natural/traditional mixed culture,Buffalo milk; spontaneous/traditional LAB community,backslopping,Traditionally fermented in bamboo,literature-backed; claim-specific scope,profiles/dadih.md,DAD001;DAD002;DAD003,West Sumatran bamboo-tube buffalo milk at28-30 C/24-48 h; spontaneous and backslopped groups separate.
Ergo,,Ethiopia,16,18,24-72,natural mixed culture,LAB + yeasts,backslopping,Traditional fermented milk,literature-backed; claim-specific scope,profiles/ergo.md,AFR001;ERG001;ERG002,Review description of raw milk at16-18 C/24-72 h; not a controlled optimum.
Lben,Leben,North Africa,15,25,24-72,traditional mesophilic culture,Lactococcus/Leuconostoc and related LAB,backslopping,Regional variation is substantial,literature-backed; claim-specific scope,profiles/lben.md,LBE001;LBE002,Moroccan regional spontaneous process15-25 C/1-3 days; milk and season vary.
Nunu,Nono,West Africa,35,35,24 (selected culture); 24-48 (ambient),natural mixed culture,Mixed lactic acid bacteria,backslopping,Traditional fermented milk,literature-backed; claim-specific scope,profiles/nunu.md,NUN001;NUN002;AFR002,35 C/24 h controlled Nunu; traditional is ambient1-2 days with no numeric temperature.
Mabisi,,Zambia,20,25,up to 48,natural mixed culture,Diverse spontaneous LAB community,backslopping,Traditional fermented milk,literature-backed; claim-specific scope,profiles/mabisi.md,MAB001;MAB002;MAB003,Tonga experimental20/22/25 C within48h;30 C and Barotse are separate.
Dhanaan,,Ethiopia/Somalia,25,35,48-72,traditional mixed culture,Camel-milk associated fermentative community,backslopping,Camel fermented milk,literature-backed; claim-specific scope,profiles/dhanaan.md,DHA001;DHA002;DHA003;AFR001,2025 household description; earlier12-24h account kept separately.
Rayeb,Raib,North Africa,15,25,24-72,traditional lactic culture,Traditional LAB fermentation,backslopping,Regional spontaneous/backslopped product,literature-backed; claim-specific scope,profiles/rayeb.md,LBE001,Moroccan Raib spontaneous regional process; Egyptian Laban Rayeb not assumed identical.
Amasi,Maas,Southern Africa,,,24-72 traditional,traditional lactic culture,LAB-dominant backslopped fermentation,backslopping,Soured fermented milk,literature-backed; claim-specific scope,profiles/amasi.md,AMA001;AMA002,Traditional room-temperature1-3 days; numeric temperatures only in controlled18-32 C design.
Suusac,Susaac,East Africa,26,29,24-48,traditional mixed culture,Camel/cow milk mixed microbial community,backslopping,Traditional pastoral fermented milk,literature-backed; claim-specific scope,profiles/suusac.md,SUU001;SUU002;SUU003;SUU004,Kenyan room-temperature description26-29 C/1-2 days.
Chal,Shubat,Central Asia,25,30,24-48,mixed LAB-yeast culture,Camel milk; LAB + yeasts,backslopping,May contain low alcohol and CO2,literature-backed; claim-specific scope,profiles/chal-shubat.md,SHU001;RUS001,Practical literature range for mixed camel-milk fermentation; households vary.
Kumis,Airag,Mongolia/Central Asia,20,30,24-48,mixed LAB-yeast culture,Mare milk; LAB + yeasts,backslopping,"Acidic, lightly alcoholic and carbonated",literature-backed; claim-specific scope,profiles/kumis-airag.md,AIR001;AIR002;AIR003;GEN001,Practical ambient envelope; continuous Airag and selected starter protocols kept separate.
Matsoni,Matzoon,Georgia/Armenia,35,42,overnight; typically 24,traditional thermophilic mixed or selected starter,Frequent Streptococcus thermophilus and Lactobacillus delbrueckii subsp. bulgaricus; additional LAB and variable yeasts,backslopping or selected starter,Georgian/Armenian regional variation; st265 reidentified as Enterococcus faecium in 2023; strain-code inconsistencies retained in profile,literature-backed; claim-specific scope,profiles/matsoni.md,MAT001;MAT002;MAT003;MAT004;MAT005,Traditional description 35-42 C/overnight; survey Methods says typically 24 h. Selected-culture pilot 44 C/3 h is a separate protocol.
Dahi,Curd,Indian subcontinent; regional Himalayan traditions,22,37,5-14 (paired protocols),traditional mixed or selected mesophilic/thermophilic starter,Lactococci and Leuconostoc in some cultures; thermophilic LAB in others; regional yeasts; EPS and adjuncts strain-dependent,backslopping or selected starter,Traditional category is broader than controlled examples; household overnight and Bhutanese 2-3 day descriptions kept separate,literature-backed; claim-specific scope,profiles/dahi.md,DAH001;DAH002;DAH003;DAH004;DAH005;DAH006;DAH007;DAH008;DAH009;DAH010;DAH011;DAH012;DAH013;DAH014;DAH015;DAH016,Review pairs 22 C/12-14 h and 37 C/5-8 h; envelope is not a continuous validated range. W8 experimental result 37 C/7 h/pH 4.2.
Mishti Doi,Mishti Dahi,India/Bangladesh,42,42,4-8,yogurt-like starter,Lactic fermentation with sweetened milk,backslopping,"Sweet, concentrated style",literature-backed; claim-specific scope,profiles/mishti-doi.md,MIS001;DAH002,Controlled42 C process point; household Dahi-derived starters vary.
Laban,,Middle East,,,24-48,traditional starter,Traditional fermented milk starter,backslopping,Traditional form; industrial versions may incubate hotter,literature-backed; claim-specific scope,profiles/laban.md,LAB001,Omani traditional raw cow milk plus old Laban24-48h; no numeric ambient temperature.
Zabadi,Zabady,Egypt/Sudan,42,42,until coagulation,traditional starter,Traditional yogurt-like culture,backslopping,Traditional form; industrial versions may differ,literature-backed; claim-specific scope,profiles/zabadi.md,ZAB001,Traditional milk cooled near45 C and incubated near42 C; time endpoint-based.
Skyr,,Iceland,40,40,4-6 primary stage,defined cultured-milk starter,Thermophilic/mesophilic combinations depending product,defined starter,Usually strained; high-protein final product,literature-backed; claim-specific scope,profiles/skyr.md,SKY001;SKY002;VII010,40 C/4-6h to aboutpH4.7 then cooled and drained; later stages separate.
Acidophilus Milk,,Modern cultured milk,37,37,formulation-specific,defined starter,Lactobacillus acidophilus,defined starter,Functional cultured milk category,literature-backed; claim-specific scope,profiles/acidophilus-milk.md,GEN001;ACD001,37 C strain-physiology reference; no universal finished-milk time.
Bifidus Milk,,Modern cultured milk,37,37,formulation-specific,defined starter,Bifidobacterium spp.,defined starter,Temperature depends on strain/formulation,literature-backed; claim-specific scope,profiles/bifidus-milk.md,BIF001;GEN001,37 C practical strain-specific reference; partners often drive acidification.
AB Yogurt,,Modern cultured milk,,,formulation-specific,defined starter,Acidophilus + Bifidobacterium,defined starter,Commercial formulations differ,literature-backed; claim-specific scope,profiles/ab-yogurt.md,AB001;GEN001,AB is a formulation concept;37 C/16h in source was separate culture preparation.
ABT Yogurt,,Modern cultured milk,43,43,2.5 (example),defined starter,Acidophilus + Bifidobacterium + Streptococcus thermophilus,defined starter,Commercial formulations differ,literature-backed; claim-specific scope,profiles/abt-yogurt.md,ABT001;GEN001,ABT-5 beverage43 C/150min to pH4.6; not category-wide.
Laban industrial,,Middle East,40,42,5-6,defined yogurt-type starter,Streptococcus thermophilus + Lactobacillus delbrueckii subsp. bulgaricus,defined starter,Industrial thermophilic form,literature-backed; claim-specific scope,profiles/laban.md,LAB001,Omani ABT-3 industrial process; blend is not a strain.
Zabadi industrial,,Egypt,42,42,until coagulation,defined yogurt-type starter,Yogurt-type thermophilic starter,defined starter,Industrial form,literature-backed; claim-specific scope,profiles/zabadi.md,ZAB001,Defined modern versions vary; traditional survey gives near42 C endpoint process.
Traditional Yogurt,Yoghurt,Balkans/Turkey,40,45,3-8,defined yogurt starter,Streptococcus thermophilus + Lactobacillus delbrueckii subsp. bulgaricus,defined starter,Classical yogurt ecology,literature-backed; claim-specific scope,profiles/traditional-yogurt.md,GEN001;YOG001,Practical thermophilic envelope; Codex defines species not time/temperature.
Greek Yogurt,Strained Yogurt,Greece,40,45,3-8 plus drainage,defined yogurt starter,Classical yogurt starter; strained after fermentation,defined starter,Processing style more than a unique culture,literature-backed; claim-specific scope,profiles/greek-yogurt.md,GEN001;YOG001,Base yogurt fermentation separated from protein concentration/drainage.
Bulgarian Yogurt,,Bulgaria,42,45,2.5-4,thermophilic yogurt starter; additional household taxa possible,Lactobacillus delbrueckii subsp. bulgaricus + Streptococcus thermophilus; strain-dependent EPS,backslopping or selected starter,Codex species identity differs from strain identity and Bulgarian PDO provenance; named study strains in profile,literature-backed; claim-specific scope,profiles/bulgarian-yogurt.md,BUL001;BUL002;BUL003;BUL004;BUL005;BUL006;BUL007;BUL008;BUL009;BUL010;BUL011;GEN001,Review-supported controlled production 42-45 C/2.5-4 h with 0.5-2 percent inoculum; not a surveyed household min/max.
Labneh,,Middle East,37,45,endpoint plus drainage,yogurt/laban base,Usually fermented yogurt/laban then strained,defined or backslopped,Concentrated fermented milk; not a unique starter ecology,literature-backed; claim-specific scope,profiles/labneh.md,GEN001,Base yogurt/Laban fermentation and subsequent concentration are separate.
Ititu,,Ethiopia; Borana and Kereyu communities,27,30,15-30 days,spontaneous and/or backslopped LAB community,Concentrated cow milk in Borana process; camel-milk form also documented,"repeated milk addition, whey removal and/or backslopping",Two process scopes under one name are kept separate.,literature-backed; claim-specific scope,profiles/ititu.md,AFR001;ITI002;ITI003,Borana staged cow-milk concentration; Kereyu camel-milk25-30 C/12-24h retained separately.
Mursik,,Kenya; Kalenjin communities,,,3-5 days or longer,smoke-associated mixed LAB-yeast community,Cow milk; L. kefiri and multiple yeasts reported in small study,household starter and seasoned gourd,"Cancer-related wording in one paper is hypothesis, not causal proof.",literature-backed; claim-specific scope,profiles/mursik.md,MUR001;MUR002,Room-temperature Kalenjin gourd fermentation; no controlled numeric temperature.
Ayran,,Türkiye and neighboring regions,40,45,base yogurt 3-8,yogurt base culture,S. thermophilus + L. delbrueckii subsp. bulgaricus commonly dominate,household yogurt or defined starter,Water and salt are blended with yogurt; dilution is not fermentation identity.,literature-backed; claim-specific scope,profiles/ayran.md,AYR001;AYR002,Yogurt base fermentation then water/salt dilution; not a second culture identity.
Doogh,,Iran,,,process-specific,yogurt or sour-buttermilk base; mixed traditional ecology,Yogurt LAB; product-specific lactobacilli; acid-tolerant spoilage fungi possible,backslopped or defined starter,"Churning, secondary souring, herbs and carbonation vary.",literature-backed; claim-specific scope,profiles/doogh.md,DOO001;DOO002;DOO003,Yogurt/buttermilk base may undergo churning and further souring; no universal pair.
Labneh Ambaris,,Lebanon,,,103-day documented process,spontaneous long-term jar community,Raw goat milk; bacterial and fungal succession across production,active jar with repeated milk/salt additions and whey drainage,Distinct from one-stage drained Labneh.,literature-backed; claim-specific scope,profiles/labneh-ambaris.md,AMB001;AMB002,Primary series: day0-10 early; day10-93 additions/drainage; day93-103 maturation.
Tarag,,Mongolia and Inner Mongolia,30,37,8-24,backslopped mixed LAB culture,L. helveticus; Lc. lactis; historical L. casei group in large survey,backslopping,Milk species and regional name scope must be recorded.,literature-backed; claim-specific scope,profiles/tarag.md,TAR001,Practical household envelope; large survey establishes ecology more strongly than process pair.
Ryazhenka,,Ukraine; Russia; Belarus,40,43,3-8,thermophilic selected or household culture,Fermented baked cow milk; yogurt-associated LAB,backslopping or selected starter,Baking conditions are separate from fermentation.,literature-backed; claim-specific scope,profiles/ryazhenka.md,RYA001;RUS001,Baked milk preparation separated from thermophilic fermentation.
Varenets,,Russia; Slavic tradition,40,40,6-7,thermophilic cultured baked milk,Thermophilic streptococci; L. bulgaricus varies by product,backslopping or selected starter,Controlled reference contains added starch treatments.,literature-backed; claim-specific scope,profiles/varenets.md,VAR001,Controlled skim Varenets at40 C/6-7h to pH4.5; starch treatments separate.
Katyk,Qatiq; Qatyq,Central Asia and Turkic regions,,,not established,backslopped or selected thermophilic culture,Heated/concentrated milk; yogurt-associated LAB reported,backslopping or selected starter,Name collides with distinct regional products; no universal process assigned.,literature-backed; claim-specific scope,profiles/katyk.md,RUS001,Central Asian heated-milk category; name collisions and process variation prevent universal range.
