observation_id,product,source_id,starter_form,stage,milk_or_substrate,batch_volume_ml,inoculum,temp_min_c,temp_max_c,temperature_qualifier,time_min_h,time_max_h,time_qualifier,endpoint_aftercare_and_scope
FFP001,Milk Kefir,FF001,fresh grains after shipping,activation,animal milk,250,delivered grains; order described as 5–15 g,18,,room temperature ideally above 18 C,24,48,replace milk after 48 h if inactive; full settling may take 1–2 weeks,supplier protocol; not a traditional optimum
FFP002,Milk Kefir,FF001,activated fresh grains,routine fermentation,animal milk,250,5 g grains,,,room temperature; approximately 18 C example,18,48,approximately 24 h at 18 C,strain off when slightly thickened and tangy; supplier protocol
FFP003,Milk Kefir,FF002,freeze-dried grains,activation,whole pasteurized milk,250,one purchased grain portion,18,24,stated ideal range,,48,per milk-refresh cycle; total activation commonly 2–14 days,supplier revival protocol; discard early milk
FFP004,Milk Kefir,FF003,fully activated grains,cold fermentation,animal milk,250,15 g grains,5,5,refrigerator set point,48,168,2–7 days,supplier alternative process; stir daily; uncited composition claims excluded
FFP005,Viili,FF004,freeze-dried starter,activation,whole pasteurized milk,150,one sachet,,,room temperature,24,72,until thickened,supplier activation protocol
FFP006,Viili,FF004,activated or previous-batch culture,routine fermentation,dairy milk,500,about 1 tablespoon previous Viili per 500 ml,,,room temperature,12,48,cooler conditions may take longer,supplier protocol; culture younger than 7 days advised
FFP007,Piimä,FF005,freeze-dried starter,activation,whole pasteurized milk,150,one sachet,,,room temperature,24,72,until thickened,supplier activation protocol
FFP008,Piimä,FF005,activated or previous-batch culture,routine fermentation,pasteurized dairy milk,500,about 1 tablespoon previous Piimä per 500 ml,,,room temperature,12,48,cooler conditions may take longer,supplier protocol; culture younger than 7 days advised
FFP009,Filmjölk,FF006,freeze-dried or previous-batch culture,routine fermentation,dairy milk,1000,one sachet initially; about 1 tablespoon previous Filmjölk per litre later,20,25,stated ideal range,24,48,until thickened and cultured aroma develops,supplier protocol; broader than academic benchmark
FFP010,Caspian Sea Yogurt,FF007,freeze-dried or previous-batch culture,routine fermentation,dairy milk,1000,one sachet initially; about 1 tablespoon previous yogurt per litre later,20,25,stated ideal range,24,48,until thickened,supplier protocol; not proof of FC/FA strain identity
FFP011,Amasi,FF008,freeze-dried or previous-batch culture,routine fermentation,dairy milk,1000,one sachet initially; about 1 tablespoon previous Amasi per litre later,20,25,stated ideal range,24,48,until thickened and tangy,supplier protocol; distinct from household Amasi surveys
FFP012,Bulgarian Yogurt,FF009,freeze-dried starter,first batch,boiled and cooled pasteurized milk,1000,one sachet,42,42,controlled incubation,8,18,8 h target; first batch may need up to 18 h; chill at least 2 h,supplier protocol; no strain or PDO identity supplied
FFP013,Bulgarian Yogurt,FF009,previous-batch culture,reculturing inoculum,dairy milk,1000,about 1 tablespoon yogurt younger than 7 days,,,routine incubation not separately quantified,,,reculture at least weekly,supplier maintenance instruction; indefinite stability not demonstrated
FFP014,Skyr,FF010,freeze-dried starter,first batch,boiled and cooled milk,1000,one sachet,42,42,controlled incubation,10,18,10 h target; first batch may need up to 18 h,then chill and drain whey under refrigeration for 8–12 h; supplier protocol
FFP015,Skyr,FF010,previous-batch culture,reculturing inoculum,dairy milk,1000,about 1 tablespoon Skyr younger than 7 days,,,routine incubation not separately quantified,,,reculture at least weekly,supplier maintenance instruction; indefinite stability not demonstrated
FFP016,Greek Yogurt,FF011,freeze-dried starter,first batch,boiled and cooled pasteurized milk,1000,one sachet,42,42,controlled incubation,10,18,10 h target; first batch may need up to 18 h,then chill and drain whey under refrigeration for 8–12 h; supplier protocol
FFP017,Russian Thickset Yogurt,FF012,freeze-dried starter,first batch,boiled and cooled pasteurized milk,1000,one sachet,42,42,approximate controlled incubation,8,24,8 h typical; first batch may need up to 24 h; chill 2–4 h,candidate product; microbial and regional identity absent
FFP018,Cultured Buttermilk,FF013,freeze-dried starter,activation,whole pasteurized milk,150,one sachet,20,25,general stated ideal range,24,72,until thickened,candidate product; supplier activation protocol
FFP019,Cultured Buttermilk,FF013,activated or previous-batch culture,routine fermentation,pasteurized milk,500,about 1 tablespoon previous product per 500 ml,20,25,general stated ideal range,12,48,until thickened and tangy,candidate product; modern cultured buttermilk distinguished from butter by-product
FFP020,Crème Fraîche,FF014,freeze-dried starter,activation,whole pasteurized milk,150,one sachet,20,25,stated ideal range,24,72,until thickened,candidate product; supplier activation protocol
FFP021,Crème Fraîche,FF014,activated or previous-batch culture,routine fermentation,single or double cream,500,about 1 tablespoon previous product per 500 ml,20,25,stated ideal range,12,48,until thickened and lightly tangy,candidate product; species and strains absent
FFP022,Sour Cream,FF015,freeze-dried starter,activation,whole pasteurized milk,150,one sachet,20,25,stated ideal range,24,72,until thickened,candidate product; supplier activation protocol
FFP023,Sour Cream,FF015,activated or previous-batch culture,routine fermentation,cream and milk; supplier example is 1:1,500,about 1 tablespoon previous product per 500 ml,20,25,stated ideal range,12,48,until thickened and tangy,candidate product; species and strains absent
